web-scraper-order,web-scraper-start-url,Condition,Likes,Review,Rating,Name,Date,Position,Gender,Age,Page link,Page link-href
1686665387-59,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,8 ShapeCreated with Sketch.,I HAVE EXPERIENCED MUSCLE ACHES AND CHILLS EVERN WHEN I WAS ONLY TAKING 10MCG INSTEAD OF 20 MCG.,Overall rating 3.7,Anonymous |,6/5/2013,Patient,Female |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-60,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,ShapeCreated with Sketch.,swelling in feet and legs,Overall rating 2.3,doloresbenzel |,6/2/2013,Patient,Female |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-61,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,37 ShapeCreated with Sketch.,"I've been taking this medication for about a month. Reference to reading the reviews, I must say that it works wonders. I was always tired before taking this med, but it makes me feel great. Another strange thing is that I had spider veins on both legs above the knee area, and they are disappearing fast. I can't wait until my next check up to see if it doing what it should.",Overall rating 5.0,feeling great |,5/18/2013,Patient,Female |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-62,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,38 ShapeCreated with Sketch.,"Although it reduces my cholesterol, my doctor has asked me to take it at night time with my other medications. It is the only different medication I take than what I take in the morning. So when I take it at night time I get the leg jerks. It's a funny feeling in my leg and I feel the need to jerk my leg to get rid of the feeling. And it will continue throughout the night. It's very annoying and aggravating.",Overall rating 5.0,Anonymous |,5/17/2013,Patient,Male |,45-54 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-63,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,27 ShapeCreated with Sketch.,"Feb. 2013 Cholesterol 207  Mar. 2013 Cholesterol 127    Thanks to my Cardiologist,I've been taking Antorvastatin, 10mg daily with no issues.",Overall rating 5.0,Larry |,4/26/2013,Patient,Male |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-64,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,1 ShapeCreated with Sketch.,Bad muscle pain in my legs and butt.,Overall rating 2.0,Anonymous |,4/24/2013,Patient,Male |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-65,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Other,2 ShapeCreated with Sketch.,"was given medicine, brought level from 178 to 80. love this medicine.",Overall rating 5.0,nettie |,4/23/2013,Patient,Female |,45-54 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-66,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,2 ShapeCreated with Sketch.,I am a 70 year old male.  I have taken a 40mg. dose of this med. for 90 days. I began with a trigliceride count of 550 and it is now 153.,Overall rating 5.0,ohoh |,4/22/2013,Patient,Male |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-67,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,Get upset stomach,Overall rating 1.3,Chazz |,4/12/2013,Patient,Male |,65-74 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-68,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,24 ShapeCreated with Sketch.,"Effective, even though I get swollen ankels and overall soreness in lower back and extremities. I'm wondering if taking this med along with a diarective and BP med Amlodipine-Benazeprilcauuses thes symptoms",Overall rating 4.0,atorvastatin 10 mg |,2/24/2013,Patient,Male |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665387-69,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,5 ShapeCreated with Sketch.,"triglycerides were over 3,ooo!! chlorestrol was 700. I am only 10 lbs overweight & I excercised & watch my diet.  I do not smoke. Dr was concerned & put me on this medication & 3 month later almost within normal range.I have had no side effects. I feel I have my life back. family history of heart disease.  I am 62 yr old female",Overall rating 5.0,Anonymous |,1/31/2013,Patient,Female |,55-64 |,8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=8&next_page=true
1686665397-70,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,24 ShapeCreated with Sketch.,"I been taking this medication for sometime now  40 mg at bad time and it's been working for me I have no side effects I also go to the fittest center, and cut back on fatty food, the only thing I can if you are having side effects is talk to your Doctor there are other medication you can try .",Overall rating 4.0,laha |,10/17/2014,Patient,Male |,55-64 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-71,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,16 ShapeCreated with Sketch.,my total cholesterol dropped 40 points in 90 days,Overall rating 5.0,Di19681 |,9/21/2014,Patient,Female |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-72,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,2 ShapeCreated with Sketch.,"After stopping this med for 2 days, many of my leg and stomach pains went away.  My legs felt 20 lbs lighter and stomach pain started easing.  Felt a little more energetic probably because my legs felt lighter.  Notified my doctor and have my regular appt in a month to try to a different med.  I will not go back on this drug.",Overall rating 2.7,carol |,9/10/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-73,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,8 ShapeCreated with Sketch.,,Overall rating 3.7,Anonymous |,8/20/2014,Patient,Female |,55-64 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-74,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,17 ShapeCreated with Sketch.,Extreme diarrhea and bloating on 40mg of this drug. I am on only one other prescription drug Evista.,Overall rating 1.0,Cruiser |,8/20/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-75,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Stroke Prevention,4 ShapeCreated with Sketch.,"I have had bad diarrhea that in nothing but liquid 4 and 5 times a day.  Every day for approximately 3 months.  I am a more forgetful since taking this medication, and also more weak.",Overall rating 2.7,Steven |,8/15/2014,Patient,Male |,55-64 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-76,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Stroke Prevention,1 ShapeCreated with Sketch.,,Overall rating 5.0,Anonymous |,7/28/2014,,Patient,Male |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-77,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,2 ShapeCreated with Sketch.,"lOSS OF MEMORY, CAN NOT SLEEP, GAS, RINNING IN EARS",Overall rating 1.0,MAFDF |,7/27/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-78,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,28 ShapeCreated with Sketch.,"lots of pain in back,legs,hip, not sure if its the med ,stop taking to see,can't sit can't sleep",Overall rating 2.7,betsy |,7/27/2014,Patient,Female |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-79,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,82 ShapeCreated with Sketch.,"I am a fit, energetic who has run and worked out for many years. Dr. prescribed this for my high cholesterol and I took it for three weeks. I have never been prescribed a drug that made me feel so bad, in so many different ways. Extreme muscle pain, mostly in the legs, malaise, lack of energy, lack of motivation, mental fuzziness, sleep issues. How can a prescription be effective when it removes all motivation by making you feel bad? Do not understand why Drs are so quick to put patients on drugs when they know how many side effects there are. I was not really warned about all these issues but when I started experiencing them it only took a few seconds to find out how many other people have had major problems with this stuff. I returned them to the Dr and will take my chances...Read More Read Less",Overall rating 1.0,Anonymous |,7/18/2014,Patient,Male |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-80,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,51 ShapeCreated with Sketch.,"took for 1 wk. had muscle pain, jaw pain, swollen neck glands, sores in mouth.  stopped for 2 wks and went back on med.  this time, upper back pain, swollen glands, chest tightness and depression symptoms are terrible bordering on full on rage feelings. this stuff is scary.",Overall rating 2.0,elacy |,7/16/2014,Patient,Female |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-81,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,ShapeCreated with Sketch.,,Overall rating 3.0,sista |,7/13/2014,Patient,Female |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-82,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,15 ShapeCreated with Sketch.,HAve jaw pain. Cut dosage in half & most of jaw pain is gone.,Overall rating 4.3,Anonymous |,7/11/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-83,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,33 ShapeCreated with Sketch.,"swollen ankles, severe leg cramps at night. If I stand too long my legs ache, and my shoulders across my back ache.I get tired very easy now.",Overall rating 2.0,liams gramma |,7/1/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-84,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,38 ShapeCreated with Sketch.,"I can't say if this has worked or not as never had follow up of colestrol test.  For days I have not known what to do with myself because of terrible musclesbcramps in my legs,can't slepp,can't concenrate,can't stay still just doing anything to get rid of it and now I have found this page and found it is a side effect. I was put on this one after taking Ramapril for a few years and then developing a really bad cough that would not go away,a side effect of Ramapril. Are there any of these statins that don't have side effects as at the moment I just feel like not taking any at all  Read More Read Less",Overall rating 2.7,Anonymous |,6/24/2014,Patient,Female |,45-54 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-85,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,3 ShapeCreated with Sketch.,"I am having shoulder, neck & upper arm pain & wonder if it could be from this medicine.  I've taken Lipitor before & could not function on it.  Been on this for about 4 weeks.I take Advil but even that doesn't kick the pain.  Any suggestions?",Overall rating 3.0,Sheila |,6/24/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-86,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,29 ShapeCreated with Sketch.,"I started taking Atorvastatin on July 24, 2013. en days later experienced severe stomach pain with cramps. This has gone on since. tried taking in morning, at night, with food. No relief. I  stopped taking it June 14th 2014. Hopeful I will improve. Time will tell.",Overall rating 2.7,Anonymous |,6/14/2014,,Female |,75 or over |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-87,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,3 ShapeCreated with Sketch.,"I have tried statins off and on for about 4 years now. This one is just the latest. I notice that I have muscle pain in my calves, thighs, hips areas and arms. I have stopped this medication 2 times over the last 6-8 months and do notice that things improve quite a bit. I am contacting my doctor and stopping this statin again. I cannot exercise if I cannot stand the pain when just walking. I have tried several times, but it make me want to find a wheel chair. I ache ALL of the time. I still want to have some fun.Read More Read Less",Overall rating 2.0,JoB |,5/9/2014,Patient,Female |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-88,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,36 ShapeCreated with Sketch.,Started taking this as a lower cost alternative to Crestor about a month ago. Started itching and getting a rash on my chest and stomach. Also ankles and feet are swelling. I haven't changed anything else in my routine or habits.,Overall rating 3.0,Anonymous |,5/3/2014,Patient,Male |,65-74 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665397-89,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,ShapeCreated with Sketch.,I just started taking this medication and need information about it,Overall rating 1.3,Anonymous |,4/15/2014,Patient,Female |,55-64 |,6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=6&next_page=true
1686665408-90,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,37 ShapeCreated with Sketch.,"My doctor wanted me to take 10 mg of atorvastatin in stead of the 10 mg of simvistatin that I've been taking for years to lower my cholesterol.  I've been taking it now for  3 or 4 weeks.  I've been experiencing leg cramps at night, and swollen ankles all day long.  Prior to taken this drug, I had notice some ankle swelling at night only.  Now my ankles are always swollen.  I've also notice feelings of impatience, anxiety and memory impairment.  A few days ago while attending an charity function, thirty mintues into the program I began to perspire profusely, stomach upset and extreme dizzyness.  I thought I was having a heart attach.  The attendants called 911, they took my blood pressure and it was extremely high.  They had me stand up and the BP dropped to 81/40.  Never experience this before.  ER   ran tests:  EKG, blood work, chest Xray, urine...everything came back normal.  What in the heck was that all about?  Dehydration??  Heat stroke, or the new statin meds? Read More Read Less",Overall rating 1.7,Joyce with a choice |,10/12/2015,Patient,Female |,75 or over |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-91,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Treatment to Prevent a Heart Attack,7 ShapeCreated with Sketch.,I had a heart attack at age 50 with heart disease in my family. I am on 80mg of this drug and found that my memory and concentration is so bad it is effecting my employment. I am even becoming nervous about going out to do errands as I get forgetful about what to do. I rely on lists and phone alarms but even forget to do those things. The things i am forgetting are common every day activities including picking up kids. I am struggling to even find the right words to type this.  Been on drug for 7 months. Seeing Dr today to drop the drug. Would rather curb dietary habits then to live like this.Read More Read Less,Overall rating 2.7,Anonymous |,9/24/2015,Patient,Female |,45-54 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-92,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,34 ShapeCreated with Sketch.,"I took this med for 7 days. day three neck pain day four and five neck and right shoulder  day six pain so bad stop taking med no sleep day seven went to er 4;30am done 2ekg took x rays couldn't find a thing. stop med all together, day nine pain gone took tylenol 3 for pain.   not good med for me.[atorvastatin or pravastatin]",Overall rating 1.0,ron |,9/18/2015,Patient,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-93,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,32 ShapeCreated with Sketch.,"My wife took atorvastatin for two years, and stopped about two months ago due to muscle pain in her knees. Perhaps coincidentally, she had developed an increasing sensitivity to gluten which gave her consistent stomach problems whenever she ate a gluten-containing product. Since she stopped taking the atorvastatin (with no other changes to her medicines or diet), she can now eat gluten. This change was gradual, suggesting a direct relation to the gradual elimination of statin remnants in her system.Read More Read Less",Overall rating 1.7,Michael |,8/15/2015,Caregiver,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-94,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,46 ShapeCreated with Sketch.,"I have a little higher than normal cholesterol but have always been told my good cholesterol counter affects the bad.  I have been taking atorvastatin for one month and have started to have pain in my left shoulder and now it is beginning in my left hip.  Also seem to be having a problem remembering things, etc.  I have talked with my doctor and even though he does not think it is the drug I think the side affects are not worth the good affects it has on me.  I'll stop taking it on my own for a month and see if there is a change in the affects that I have been having.  Read More Read Less",Overall rating 3.0,Kitty |,8/4/2015,Patient,Female |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-95,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,23 ShapeCreated with Sketch.,"I have been on an Atorvastatin as well as BP lowering meds for apprx 3 1/2 years now. My Cholesterol went from about 212 down to 122! This drug works! I have experienced minor muscle aches and pains in my legs but the benefits far outway the side effects. Besides, I have my GF run an Epson Salt bath and soak my aching muscles once every couple of weeks and I'm a happy guy..",Overall rating 4.7,R Dubz |,7/19/2015,Patient,Male |,35-44 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-96,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,2 ShapeCreated with Sketch.,"Can't really say if it will work for me or not. The first day I took this med. I had pain in jaw, behind left shoulder blade, left arm. I thought I was having a heart attack, scared the crap out of me.I also had nausea, which I thought was from the pain. After reading some of these reviews I believe it was just side effect from this medication. I have also had cramps along with diarrhea since day one to. My Dr. may not be happy with me but I am through with this. There has got to be some other way to lower cholesterol. A little concerned though my cholesterol is 386. I've never had this problem before, Need to find something else!   Read More Read Less",Overall rating 1.0,Lizzielou 7 |,6/28/2015,Patient,Female |,55-64 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-97,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,46 ShapeCreated with Sketch.,"Have taken for 4 years. 7 months ago, began having severe muscle pain in upper left arm which I attributed to the flu shot. Pain continued & about a month ago, the same pain began in the right arm. Also, lots of pain in both hips for approximately 5 months. I quit taking for the last week and have not had nearly as much pain for the last couple of days. Will be calling my doctor.",Overall rating 3.0,Suzy C |,6/13/2015,Patient,Female |,55-64 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-98,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,54 ShapeCreated with Sketch.,"WHile this worked to help my husband's cholesterol, he had extreme memory issues.  We thought he had developed dementia!  NOT GOOD! Took him off the meds and saw immediate improvement.  However, he is having problems with memory. I've read that damage can be permanent or take months to reverse. We do not recommend!",Overall rating 2.3,Anonymous |,6/8/2015,Patient,Male |,55-64 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-99,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,40 ShapeCreated with Sketch.,"I have been taking this drug for 4 weeks now along with BP lowering drugs. Almost since day one I have been suffering stomach and bowel cramps and constipation. Nausea in the morning is common and belching follows every meal.I have also felt tired with muscle aches in the upper arms, back and legs. Now I am no spring chicken and expect some wear and tear to show in my day but the immediate reaction to this drug in my case was quite marked. I will be asking to return to Simvastatin at my next check-up with the Doc.Read More Read Less",Overall rating 2.3,Hertsman |,5/11/2015,Patient,Male |,45-54 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-100,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,36 ShapeCreated with Sketch.,"I have been taking Atorvastatin for over a month. My total cholesterol has gone from 221 to 169 which made me very happy. But I don't like the side effect I have been feeling. Cramps on my legs, Jaw Pain. Muscle Pain and Tiredness. I will be calling the doctor to discuss these feelings.",Overall rating 4.0,Renie |,4/7/2015,Patient,Female |,45-54 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-101,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Stroke Prevention,5 ShapeCreated with Sketch.,"I HAVE BEEN TSKING THIS FOR 1 YEAR,IVE BEEN SUFFERING WITH A UNKNOWN  DRUG INYRTACTTON THAT CAUSED MY FEET TO SWELL, SINUDRD TO SWELL, HARD TO BREATHE. THRU A PTOCESS OF ELIMINATION THIS DRUG WAS DOUND TO BE THE""TRIGGER""...ALSO INTERFERS WIT MY OARKINSON DISEASE MEDICATIONS.....THIS DRUG IS GENERIC FOR CRESTOR.",Overall rating 1.7,DENNIS     Y. |,2/27/2015,Patient,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-102,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,24 ShapeCreated with Sketch.,I was taking Simvastatin for several years. I  started experiencing some minor side effects about a year ago. Dr switched me to atorvastatin. My bad cholestoral has been lower no side effects so far.,Overall rating 4.3,Ron |,2/8/2015,Patient,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-103,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,38 ShapeCreated with Sketch.,"Doctor switched me to atorvastatin two months ago from simvastatin.I have had muscle pain,slight memory problems,tiredness.I am going back on simvastain which i took for 20 years with no problem.",Overall rating 3.7,Anonymous |,12/25/2014,Patient,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-104,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,40 ShapeCreated with Sketch.,Take Statins for 20 years now.  Lipitor is the most effective for my metabolism.  I take it earlier in the day.  Somehow the Statin increases my metabolism and subsequently hinders sleep when I take at bedtime.  No problems when taken earlier in the day.,Overall rating 5.0,Happy Camper |,12/18/2014,Patient,Female |,55-64 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-105,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,29 ShapeCreated with Sketch.,"Wow. I haven't been on this very long, but I feel so sick after taking it. Worse than any illness I've ever had. Extreme dizziness, ringing in the ears, difficulty swallowing, and the list goes on. Just too dizzy to try to  do anything important. Taking 20mg. I want off this medication. What else is there?",Overall rating 2.3,valerootie |,12/12/2014,Patient,Female |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
1686665408-106,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Homozygous Inherited High Blood Cholesterol,ShapeCreated with Sketch.,"For last 20 years I;m on different Satatins, some are more effective then others. Now after this period I have blood glucose gone up and am a borderline diabetic patient. for which I take medication. I have been told and by physicians and read all Statins increase blood sugar. And many other side affects either ignored or not mentioned by drug companies in detail. Had I was not on this medication I could have a stroke or hear problem, though i never had any heart problem, blood pressure or diabetes when i started this medication  20 years ago only High cholesterol. Read More Read Less",Overall rating 4.3,rph |,11/30/2014,Patient,Male |,65-74 |,5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=5&next_page=true
